Image[42,185] - Red: 255, Green: 0, Blue: 0
Image[42,186] - Red: 255, Green: 0, Blue: 0
Image[42,187] - Red: 255, Green: 0, Blue: 0
Image[42,188] - Red: 255, Green: 0, Blue: 0
Image[42,189] - Red: 255, Green: 0, Blue: 0
Image[42,190] - Red: 255, Green: 0, Blue: 0
Image[42,191] - Red: 255, Green: 0, Blue: 0
Image[42,192] - Red: 255, Green: 0, Blue: 0
Image[42,193] - Red: 255, Green: 0, Blue: 0
Image[42,194] - Red: 255, Green: 0, Blue: 0
Image[42,195] - Red: 255, Green: 0, Blue: 0
Image[42,196] - Red: 255, Green: 0, Blue: 0
Image[42,197] - Red: 255, Green: 0, Blue: 0
Image[42,198] - Red: 255, Green: 0, Blue: 0
Image[42,199] - Red: 255, Green: 0, Blue: 0
Image[42,200] - Red: 255, Green: 0, Blue: 0
Image[42,201] - Red: 255, Green: 0, Blue: 0
Image[42,202] - Red: 255, Green: 0, Blue: 0
Image[42,203] - Red: 255, Green: 0, Blue: 0
Image[42,204] - Red: 255, Green: 0, Blue: 0
Image[42,205] - Red: 255, Green: 0, Blue: 0
Image[42,206] - Red: 255, Green: 0, Blue: 0
Image[42,207] - Red: 255, Green: 0, Blue: 0
Image[42,208] - Red: 255, Green: 0, Blue: 0
Image[42,209] - Red: 255, Green: 0, Blue: 0
Image[42,210] - Red: 255, Green: 0, Blue: 0
Image[42,211] - Red: 255, Green: 59, Blue: 59
Image[42,212] - Red: 255, Green: 174, Blue: 174
Image[42,213] - Red: 253, Green: 250, Blue: 252
Image[43,174] - Red: 255, Green: 223, Blue: 223
Image[43,175] - Red: 255, Green: 89, Blue: 89
Image[43,176] - Red: 255, Green: 0, Blue: 0
Image[43,177] - Red: 255, Green: 0, Blue: 0
Image[43,178] - Red: 255, Green: 0, Blue: 0
Image[43,179] - Red: 255, Green: 0, Blue: 0
Image[43,180] - Red: 255, Green: 0, Blue: 0
Image[43,181] - Red: 255, Green: 0, Blue: 0
Image[43,182] - Red: 255, Green: 0, Blue: 0
Image[43,183] - Red: 255, Green: 0, Blue: 0
Image[43,184] - Red: 255, Green: 0, Blue: 0
Image[43,185] - Red: 255, Green: 0, Blue: 0
Image[43,186] - Red: 255, Green: 0, Blue: 0
Image[43,187] - Red: 255, Green: 0, Blue: 0
Image[43,188] - Red: 255, Green: 0, Blue: 0
Image[43,189] - Red: 255, Green: 0, Blue: 0
Image[43,190] - Red: 255, Green: 0, Blue: 0
Image[43,191] - Red: 255, Green: 0, Blue: 0
Image[43,192] - Red: 255, Green: 0, Blue: 0
Image[43,193] - Red: 255, Green: 0, Blue: 0
Image[43,194] - Red: 255, Green: 0, Blue: 0
Image[43,195] - Red: 255, Green: 0, Blue: 0
Image[43,196] - Red: 255, Green: 0, Blue: 0
Image[43,197] - Red: 255, Green: 0, Blue: 0
Image[43,198] - Red: 255, Green: 0, Blue: 0
Image[43,199] - Red: 255, Green: 0, Blue: 0
Image[43,200] - Red: 255, Green: 0, Blue: 0
Image[43,201] - Red: 255, Green: 0, Blue: 0
Image[43,202] - Red: 255, Green: 0, Blue: 0
Image[43,203] - Red: 255, Green: 0, Blue: 0
Image[43,204] - Red: 255, Green: 0, Blue: 0
Image[43,205] - Red: 255, Green: 0, Blue: 0
Image[43,206] - Red: 255, Green: 0, Blue: 0
Image[43,207] - Red: 255, Green: 0, Blue: 0
Image[43,208] - Red: 255, Green: 0, Blue: 0
Image[43,209] - Red: 255, Green: 0, Blue: 0
Image[43,210] - Red: 255, Green: 0, Blue: 0
Image[43,211] - Red: 255, Green: 0, Blue: 0
Image[43,212] - Red: 255, Green: 0, Blue: 0
Image[43,213] - Red: 255, Green: 59, Blue: 59
Image[43,214] - Red: 255, Green: 190, Blue: 190
Image[43,215] - Red: 255, Green: 254, Blue: 254
Image[44,172] - Red: 254, Green: 239, Blue: 237
Image[44,173] - Red: 255, Green: 110, Blue: 110
Image[44,174] - Red: 255, Green: 0, Blue: 0
Image[44,175] - Red: 255, Green: 0, Blue: 0
Image[44,176] - Red: 255, Green: 0, Blue: 0
Image[44,177] - Red: 255, Green: 0, Blue: 0
Image[44,178] - Red: 255, Green: 0, Blue: 0
Image[44,179] - Red: 255, Green: 0, Blue: 0
Image[44,180] - Red: 255, Green: 0, Blue: 0
Image[44,181] - Red: 255, Green: 0, Blue: 0
Image[44,182] - Red: 255, Green: 0, Blue: 0
Image[44,183] - Red: 255, Green: 0, Blue: 0
Image[44,184] - Red: 255, Green: 0, Blue: 0
Image[44,185] - Red: 255, Green: 0, Blue: 0
Image[44,186] - Red: 255, Green: 0, Blue: 0
Image[44,187] - Red: 255, Green: 0, Blue: 0
Image[44,188] - Red: 255, Green: 0, Blue: 0
Image[44,189] - Red: 255, Green: 0, Blue: 0
Image[44,190] - Red: 255, Green: 0, Blue: 0
Image[44,191] - Red: 255, Green: 0, Blue: 0
Image[44,192] - Red: 255, Green: 0, Blue: 0
Image[44,193] - Red: 255, Green: 0, Blue: 0
Image[44,194] - Red: 255, Green: 0, Blue: 0
Image[44,195] - Red: 255, Green: 0, Blue: 0
Image[44,196] - Red: 255, Green: 0, Blue: 0
Image[44,197] - Red: 255, Green: 0, Blue: 0
Image[44,198] - Red: 255, Green: 0, Blue: 0
Image[44,199] - Red: 255, Green: 0, Blue: 0
Image[44,200] - Red: 255, Green: 0, Blue: 0
Image[44,201] - Red: 255, Green: 0, Blue: 0
Image[44,202] - Red: 255, Green: 0, Blue: 0
Image[44,203] - Red: 255, Green: 0, Blue: 0
Image[44,204] - Red: 255, Green: 0, Blue: 0
Image[44,205] - Red: 255, Green: 0, Blue: 0
Image[44,206] - Red: 255, Green: 0, Blue: 0
Image[44,207] - Red: 255, Green: 0, Blue: 0
Image[44,208] - Red: 255, Green: 0, Blue: 0
Image[44,209] - Red: 255, Green: 0, Blue: 0
Image[44,210] - Red: 255, Green: 0, Blue: 0
Image[44,211] - Red: 255, Green: 0, Blue: 0
Image[44,212] - Red: 255, Green: 0, Blue: 0
Image[44,213] - Red: 255, Green: 0, Blue: 0
Image[44,214] - Red: 255, Green: 0, Blue: 0
Image[44,215] - Red: 255, Green: 110, Blue: 110
Image[44,216] - Red: 255, Green: 232, Blue: 232
Image[44,217] - Red: 255, Green: 254, Blue: 254
Image[45,171] - Red: 255, Green: 208, Blue: 208
Image[45,172] - Red: 255, Green: 38, Blue: 38
Image[45,173] - Red: 255, Green: 0, Blue: 0
Image[45,174] - Red: 255, Green: 0, Blue: 0
Image[45,175] - Red: 255, Green: 0, Blue: 0
Image[45,176] - Red: 255, Green: 0, Blue: 0
Image[45,177] - Red: 255, Green: 0, Blue: 0
Image[45,178] - Red: 255, Green: 0, Blue: 0
Image[45,179] - Red: 255, Green: 0, Blue: 0
Image[45,180] - Red: 255, Green: 0, Blue: 0
Image[45,181] - Red: 255, Green: 0, Blue: 0
Image[45,182] - Red: 255, Green: 0, Blue: 0
Image[45,183] - Red: 255, Green: 0, Blue: 0
Image[45,184] - Red: 255, Green: 0, Blue: 0
Image[45,185] - Red: 255, Green: 0, Blue: 0
Image[45,186] - Red: 255, Green: 0, Blue: 0
Image[45,187] - Red: 255, Green: 0, Blue: 0
Image[45,188] - Red: 255, Green: 0, Blue: 0
Image[45,189] - Red: 255, Green: 0, Blue: 0
Image[45,190] - Red: 255, Green: 0, Blue: 0
Image[45,191] - Red: 255, Green: 0, Blue: 0
Image[45,192] - Red: 255, Green: 0, Blue: 0
Image[45,193] - Red: 255, Green: 0, Blue: 0
Image[45,194] - Red: 255, Green: 0, Blue: 0
Image[45,195] - Red: 255, Green: 0, Blue: 0
Image[45,196] - Red: 255, Green: 0, Blue: 0
Image[45,197] - Red: 255, Green: 0, Blue: 0
Image[45,198] - Red: 255, Green: 0, Blue: 0
Image[45,199] - Red: 255, Green: 0, Blue: 0
Image[45,200] - Red: 255, Green: 0, Blue: 0
Image[45,201] - Red: 255, Green: 0, Blue: 0
Image[45,202] - Red: 255, Green: 0, Blue: 0
Image[45,203] - Red: 255, Green: 0, Blue: 0
Image[45,204] - Red: 255, Green: 0, Blue: 0
Image[45,205] - Red: 255, Green: 0, Blue: 0
Image[45,206] - Red: 255, Green: 0, Blue: 0
Image[45,207] - Red: 255, Green: 0, Blue: 0
Image[45,208] - Red: 255, Green: 0, Blue: 0
Image[45,209] - Red: 255, Green: 0, Blue: 0
Image[45,210] - Red: 255, Green: 0, Blue: 0
Image[45,211] - Red: 255, Green: 0, Blue: 0
Image[45,212] - Red: 255, Green: 0, Blue: 0
Image[45,213] - Red: 255, Green: 0, Blue: 0
Image[45,214] - Red: 255, Green: 0, Blue: 0
Image[45,215] - Red: 255, Green: 0, Blue: 0
Image[45,216] - Red: 255, Green: 0, Blue: 0
Image[45,217] - Red: 255, Green: 174, Blue: 174
Image[45,218] - Red: 255, Green: 254, Blue: 254
